round,fraction,dice_score,method
1,0.12,0.5823958069086075,js-divergence
2,0.13,0.626413494348526,js-divergence
3,0.14,0.6373216509819031,js-divergence
4,0.15,0.6621585786342621,js-divergence
5,0.16,0.6816658675670624,js-divergence
6,0.17,0.786324068903923,js-divergence
7,0.18,0.7847401648759842,js-divergence
8,0.19,0.802115261554718,js-divergence
9,0.2,0.804615393280983,js-divergence
10,0.21,0.8151577413082123,js-divergence
11,0.22,0.8189456909894943,js-divergence
12,0.23,0.8159333169460297,js-divergence
13,0.24,0.8306389302015305,js-divergence
14,0.25,0.8301794528961182,js-divergence
15,0.26,0.8308461904525757,js-divergence
16,0.27,0.8446228802204132,js-divergence
17,0.28,0.8492084741592407,js-divergence
18,0.29,0.8567444384098053,js-divergence
19,0.3,0.8511341512203217,js-divergence
20,0.31,0.859662652015686,js-divergence
21,0.32,0.8666041791439056,js-divergence
22,0.33,0.8639699518680573,js-divergence
23,0.34,0.8655247986316681,js-divergence
24,0.35,0.86883944272995,js-divergence
25,0.36,0.8692817240953445,js-divergence
26,0.37,0.8725081235170364,js-divergence
27,0.38,0.875828742980957,js-divergence
28,0.39,0.883125513792038,js-divergence
29,0.4,0.8791567534208298,js-divergence
30,0.41,0.8842875212430954,js-divergence
31,0.42,0.876086562871933,js-divergence
32,0.43,0.8781107664108276,js-divergence
33,0.44,0.8768807500600815,js-divergence
34,0.45,0.8695088177919388,js-divergence
35,0.46,0.8838635981082916,js-divergence
36,0.47,0.8871807307004929,js-divergence
37,0.48,0.8836966753005981,js-divergence
38,0.49,0.8846143186092377,js-divergence
39,0.5,0.8846177756786346,js-divergence
40,0.51,0.8966251313686371,js-divergence
41,0.52,0.889086976647377,js-divergence
42,0.53,0.8910781890153885,js-divergence
43,0.54,0.8932947367429733,js-divergence
44,0.55,0.888772502541542,js-divergence
45,0.56,0.8905387669801712,js-divergence
46,0.57,0.8899756968021393,js-divergence
47,0.58,0.8928587883710861,js-divergence
48,0.59,0.8949250876903534,js-divergence
49,0.6,0.8930668830871582,js-divergence
50,0.61,0.8958951383829117,js-divergence
51,0.62,0.8914645165205002,js-divergence
52,0.63,0.8909960836172104,js-divergence
53,0.64,0.8953941315412521,js-divergence
54,0.65,0.8906540274620056,js-divergence
55,0.66,0.8939788043498993,js-divergence
56,0.67,0.8938146531581879,js-divergence
57,0.68,0.8929747194051743,js-divergence
58,0.69,0.8991806656122208,js-divergence
59,0.7,0.8963520228862762,js-divergence
60,0.71,0.8904295712709427,js-divergence
61,0.72,0.8961993157863617,js-divergence
62,0.73,0.8929018974304199,js-divergence
63,0.74,0.8970886915922165,js-divergence
64,0.75,0.8973393738269806,js-divergence
65,0.76,0.8975569307804108,js-divergence
66,0.77,0.893709197640419,js-divergence
67,0.78,0.8979417532682419,js-divergence
68,0.79,0.898407518863678,js-divergence
69,0.8,0.8988666832447052,js-divergence
70,0.81,0.8957227170467377,js-divergence
71,0.82,0.8966173827648163,js-divergence
72,0.83,0.8992508500814438,js-divergence
73,0.84,0.9011866897344589,js-divergence
74,0.85,0.9024126976728439,js-divergence
75,0.86,0.9033301621675491,js-divergence
76,0.87,0.903107538819313,js-divergence
77,0.88,0.8994869440793991,js-divergence
78,0.89,0.8965937346220016,js-divergence
79,0.9,0.8997397869825363,js-divergence
80,0.91,0.9006513059139252,js-divergence
81,0.92,0.8989884704351425,js-divergence
82,0.93,0.9021483361721039,js-divergence
83,0.94,0.9044634848833084,js-divergence
84,0.95,0.8992414772510529,js-divergence
85,0.96,0.8990768790245056,js-divergence
86,0.97,0.9025346338748932,js-divergence
87,0.98,0.8977119326591492,js-divergence
88,0.99,0.8989049941301346,js-divergence
89,1.0,0.9057800322771072,js-divergence
